ID;Diâmetro (mm);Altura (mm);Massa (g);Resistência (kgf)
400;12.4;17.77;2.5;912
401;12.42;20.26;2.7;815
402;12.49;21.53;2.8;867
403;12.35;22.83;3.0;807
408;12.4;19.21;2.9;1021
409;12.46;21.97;3.33;924
410;12.43;23.33;3.5;918
411;12.42;24.62;3.73;848
416;14.68;21.34;3.9;1073
417;14.74;24.21;4.5;1087
418;14.77;25.59;4.7;1059
419;14.77;27.31;5.0;1101
428;16.3;23.3;5.3;1365
429;16.3;27.7;6.1;1339
430;16.3;28.7;6.4;1300
431;16.3;30.2;6.8;1329
420;15.25;22.13;4.4;1170
421;15.23;25.16;5;1145
422;15.36;26.77;5.5;1192
423;15.41;28.22;5.7;1199
